ID,Character,Gender,Turkish,MSA,Syrian_Arabic
255,Yusuf,Male,Dur dur dur dur sakin ol nereye gidiyorsun böyle düşecektin az da.,توقف، توقف، لا تتوتر إلى أين تذهب، كدت تسقط. ,على مهلك لشو كل هالركض طول بالك شوي كنت رح توقع
256,Taylan,Male,Bu tarafa doğru gitmişlerdi ama gözden kaybettim.  Tamam tamam sen,ذهبوا في هذا الاتجاه، لكن فقدتهم من نظرهم. حسناً، فقط,كانو عم يركضو من هديك الجهة بس ما عاد شفتن بعدين
257,Yusuf,Male,Hayır merak etme diyorum ben sana hadi doğru  eve git ben bulacağım Elifi hadi hadi.,لا، لا تقلق أقول لك، هيا عد إلى المنزل، سأجد إليف. هيا، هيا. ,لأ . ما تقلق أنا رح لاقيها  . ارجع عالبيت لاتتأخر . يلا . بسرعة
258,Selim,Male,Ne kadar pişman olduğumu görürsün.,وتري كم أنا آسف. ,وتشوفي اديشني ندمان عاللي قلتو
259,Yusuf,Male,Zaten çok merak etmişlerdir seni.,لقد كانوا قلقين عليك كثيراً. ,اصلا لازم نروح حتى ما تقلق امك
260,Yusuf,Male,Ya o çocuklar bir daha sana zarar vermeye kalkarsa?,ماذا لو حاول الأطفال أن يؤذوك مرة أخرى؟ ,بركي رجعو دايقوكي هدول الولاد او أذوكي  مثلاً ؟
261,Feride,Female,Allahım ne olursun iyi ol Elif.,يا الله، أرجوك اجعل إليف بخير. ,يا ربي . لوين رحتي يا اليف لوين؟
262,Feride,Female,Abla dünya seni göremeyince çok korktum.,أختي، كنت خائفة جداً عندما لم أتمكن من رؤيتك في العالم. ,وين كنتي حبيبتي خفت عليكي كتير لما ما لقيتك
263,Zeynep,Female,Yok abla aşk olsun.  Sen işine bak.,لا أختي، شكراً. اهتمي بعملك. ,لأ خالتي معليش . خلصي شغلك
264,Tülay,Female,İşin nasıl gidiyor memnun musun?,كيف العمل معك، هل أنتِ راضية؟ ,وكيف الشغل في شي مشكلة ؟
265,Tülay,Female,İyi düşünelim ki iyi olsun canım benim.,لنفكر بشكل إيجابي لكي تكون الأمور جيدة عزيزتي. ,تفائلي بالخير . ولا تفكري بالسيئ
266,Aliya,Female,Aranızdaki bu mevzuyu halledin artık oğlum.,أصلحوا هذا الأمر بينكما الآن، يا بني. ,لازم تصالح  زينب يا سليم وترجعها عالبيت
267,Aliya,Female,İçim parçalanıyor seni böyle görünce.  Benim için.,قلبي يتقطع عندما أراك هكذا. من أجلي. ,ومالي حابة شوفك هيك زعلان ومقهور
268,Ayla,Female,Hoş geldin.  Hoş buldum.  Hiç kalkmasaydın ablacığım.,أهلاً وسهلاً. أهلاً وسهلاً. لم يكن عليك النهوض، أختي. ,شكراً الك . ما كان في داعي تقومي خالتي
269,Tülay,Female,"Aylacığım, ne kadar zarif hazırlamışsın.",عيلتي، كم كانت تحضيراتك رائعة. ,حبيبتي ايلا .ما كان في داعي تعذبي حالك يا روحي
270,Tülay,Female,Ben de sana bir tabak getireyim canım.,سأحضر لك طبقاً يا عزيزتي. ,خليني انا . جبلك صحن يا روحي
271,Ayla,Female,Baya iyi bakmış sana ama o göbecikten belli.,تعتني بك جيداً لكن هذا واضح من بطنك. ,كتير بتنتبه عليك وبتغذيك واضح من هالكرش الصغير
272,Tülay,Female,Evet.  Yoksa sen mi yaptın Aylacığım bunları?,نعم. أم أنك قمت بكل هذا يا آيلا؟ ,صحيح . يعني انتي عملتي كل هاد يا عمري؟
273,Ayla,Female,Kendi internet sayfam gibi  düşünebilirsin Veysel amcacığım.,يمكنك أن تفكر فيها كصفحة الإنترنت الخاصة بي عمي فيسيل. ,يعني عمي فيصل بفتح صفحة باسمي بنزل فيا فيديوهات عني
274,Tülay,Female,Ayraçım istersen tatlıya geçelim ha?  Ne dersin canım?,حبيبتي، إذا أردتِ يمكننا الانتقال إلى الحلوى؟ ما رأيكِ حبي؟ ,ايلا شو رأيك تقومي معي عالمطبخ . لنجيب الحلو ؟
275,Faysal,Male,Yemekler muazzamdı vallahi.  Ziyade olsun.,كانت الأطعمة رائعة والله. بالصحة والهناء. ,الأكل كان شي خرافي والله
276,Arkut,Male,Ya Asu bana ne ters yapıyorsun kızım?  Bu işler buraya gelmedi.,يا عثي، لماذا تتصرفين بطريقة عكسية معي يا ابنتي؟ الأمور لم تصل إلى هنا. ,اسو لا تحكي معي بهالطريقة ماشي؟
277,Arkut,Male,Neler yaptım senin için be?  Ben de hiç karşılık beklemedim.,ماذا فعلت من أجلك؟ لم أتوقع مقابلًا أبدًا. ,عملت شغلات كتير مشانك وخاطرت بحياتي بس
278,Arkut,Male,Hırsın yüzünden bana düşman oldun.,أصبحت عدوي بسبب طمعك. ,عم تتصرفي معي وكأني عدوّك
279,Asuman,Female,Bulabildin mi o çok sevgili boşanmacı albimizi ha?,هل وجدت ألبوم الطلاق المحبوب لدينا؟ ,انشالله قدرت تلاقي وراق الطلاق ورتحت ؟
280,Orhan,Male,Yani sen de böyle şeyleri düşünüp kendini üzme artık yeter.,لذا كفى من التفكير في هذه الأشياء وتحزين نفسك. ,بقى روق وحاج تفكر بالموضوع و تزعج حالك . خلص
281,Murat,Male,Pardon da sen bu kızın neyini beğendin ya?,عذرًا، ولكن ماذا أعجبك فيها؟,شو هالسؤال ؟. وعلى شو بدي حبها لهالمجنونة ؟
282,Murat,Male,Sana başka hiçbir şey demiyorum.,لن أقول لك شيئًا آخر.,بدك ياني حبها مشان الحلو ؟
283,Murat,Male,Sen şimdi sadece bir taktiği için mi beğendin bu kızı?  Eee?,هل أعجبتك هذه الفتاة لمجرد تكتيك واحد؟ هاه؟,اذا كل هالقد حابب نوع الحلو اللي بتعملو
284,Murat,Male,Ya genç yaşında meftal olmamı mı istiyorsun?,هل تريد أن أموت في شبابي؟,والله بموت ناقص عمر اذا بتزوجا
285,Faysal,Male,İşte üstüne titriyor daha ne istiyorsun?,إنه يعتني بها ما الذي تريده أكثر؟,البنت معجبة فيك . شو بدك احلى من هيك ؟
286,Tülay,Female,Selimle de arası açık biliyorsun.,أنت تعرفي أنها في خلاف مع سليم.,صرلا كم يوم زعلانة هي وسليم
287,Tülay,Female,Yani biliyorsun burası Zeynepin de evi.,كما تعلمين، هذا البيت هو بيت زينب أيضًا.,يعني البيت بيتها . وبيت ابوها بالنهاية
288,Melek,Female,Yok canım yok sen merak etme.,لا أبدًا، لا تقلقي.,لأ حبيبتي اكيد ما تقلقي
289,Melek,Female,Yok yok gerçekten zahmetçisin.  Zaten benim çıkmam lazım.,لا، لا، حقًا أنتِ تتعبين نفسك. يجب أن أذهب أصلًا.,لأ ما في داعي تعذبي حالك اصلا ما عندي وقت ولازم روح
290,Tülay,Female,Ay Melekciğim böyle içime desin mi?,يا ملاكي، هل تبقى شيء في خاطرك؟,بس والله ما حلوة يا ملك ما اكلتي ولا شربتي شي
291,Arzu,Female,Oysa sen beni hiç tanımıyorsun.,ومع ذلك، أنت لا تعرفني.,رغم انك ما بتعرفني
292,Yusuf,Male,Seni bir kez daha uyarıyorum.,أحذرك مرة أخرى.,وبحذرك مرة تانية
293,Arzu,Female,Bakalım sen bundan sonra meleğin yanına yaklaşabilecek misin?,لنرى إن كنت ستحصل على فرصة للاقتراب من الملاك مرة أخرى.,لنشوف كيف رح تخليك ملك تقرب منها بعد ما تشوف هالصور
294,Gülay,Female,"Kız,  vallahi yüreğimizi ağzımıza getirdin.",الفتاة، والله جلبت قلوبنا إلى حلوقنا.,يا بنت . والله قلقتينا وخوفتينا عليكي كتير
295,Feride,Female,Abla sen niye geldin ki?,أختي لماذا جئتِ؟,اختي . ليش إجيتي اليوم ؟
296,Behriye,Female,Senin getirdiğin şu kız var ya,الفتاة التي جلبتِها,انا رح احكيلك اللي صار
297,Feride,Female,Ya ne diyorsun ya?  Sen kendi ağzından çıkanları unuttun herhalde.  Melek ablaya,ماذا تقولين؟ ربما نسيتِ ما قلته. لأختي ملك,شو هالحكي اللي عم تقولي  شكلك نسيتي شو حكيتي معي وكيف قللتي احترام
298,Melek,Female,Bak ben seni çok iyi tanıyorum.  Onur.,انظري، أنا أعرفك جيدًا.  الشرف.,ليكي انا بعرفك كتير منيح
299,Melek,Female,Merak etme sen tamam mı?,لا تقلقي، حسنًا؟,لهيك ما تزعلي حالك تمام ؟
300,Taylan,Male,baksana hemen seni zor zamanlı yetişip kurtarıyor.,انظري كيف يأتي فوراً ويساعدك في أوقات الشدة.,لانو هو متل سوبرمان . دائمأً بيكون جنبك . وقت اللي بتحتاجيه
301,Taylan,Male,Hâlâ bir şey yemedin mi yani?,هل لم تأكلي شيئًا بعد؟,يعني ما أكلتي شي لسا ؟
302,Taylan,Male,"Ben Tosun oğlum, hemen geliyorum.",أنا توسن ابني، سأعود فوراً.,رح انزل جبلك سندويشة وارجع
303,Yusuf,Male,Bu çocukların seni korkutmalarına izin vermemelisin.,لا يجب أن تسمحي لهؤلاء الأطفال بأن يخيفوك.,لا تسمحلي لهالصبيان الزعران يخوفوكي ابدا ماشي؟
304,Yusuf,Male,O yüzden inadına gözlerimin içine bakacaksın.,لهذا السبب ستنظر إلى عيني بعناد.,لهيك وقت بيزوروكي حطي عينك بعينن وواجهين
305,Yusuf,Male,Hadi bakalım sen derse ben de işe artık.,حسناً لنذهب، أنت إلى الدرس وأنا إلى العمل الآن.,يلا حبيبتي روحي على صفك . وأنا رايح على شغلي
306,Aliya,Female,Allah işlerini rast getirsin yavrum.,لنرى ما إذا اتفقنا في العرض.,الله يسرلك كل امورك يا ابني
307,Aliya,Female,Kahvaltıda da doğru düzgün bir şey yemedin.,حسناً، إذًا تناول شيء في فمك بسرعة.,انتبهت عليك ما أكلت شي على الفطور
308,Aliya,Female,Ben senin bu vaziyetini hiç beğenmiyorum.,سليم، يا بني,من لما راحت زينب ووضعك مو عاجبني ابدا
309,Orhan,Male,Sana da bundan başka bir şey söylememiş.,لم تخبرك بأي شيء آخر.,يعني أصلاً ما قالتلك شي جديد وما بتعرفو
310,Orhan,Male,Böyle bir kadın seni nedensiz yere bir yere çağırmaz.,امرأة كهذه لن تدعوك لمكان بدون سبب.,حدا متلا . ما بيحاكيك وبيطلع بشوفك مشان هيك شي
311,Yusuf,Male,Vallahi ne plan yaparsa yapsın.,والله مهما كانت خطتها.,اي خليها تخطط قد ما بدها
312,Yusuf,Male,Ne pahasına olursa olsun ama ne pahasına olursa olsun.,مهما كان الثمن. أنا لن أترك هذا الأمر.,حتى لو شو ما عملت . ولو قد ما حاولت و خططت
313,Melek,Female,Gülay sen yine kenar bir ileri geçersin.,غيلاي، يمكنك التقدم من الجانب مرة أخرى.,جولاي . أنت رح تعملي الدرزات الأساسية
314,Gülay,Female,Nesi fazlaymış sana verdiği işin?,ما الذي تعتقدين أن العمل الزائد قد أٌعطي لك؟,من أي ناحية شغلتك الاصعب يعني ؟
315,İsal,Female,Ne diyorsun Bahriye abla?  Ne ekmeği ne yağı?  Abarttın iyice.,ماذا تقولين يا بهريا أختي؟ عن أي خبز وزيت تتحدثين؟ لقد بالغت تمامًا.,شو عم تحكي يا اختي بهرية ومن وين جبتي هالحكي ؟. أنت عم تبالغي
316,Gonca,Female,Hem bu kadar tutuştuğuna göre burada  ne yazdığını biliyorsun demek ki.,مما يعني أنك تعرف ماذا كتب هنا لأنك متحمس جدًا. ,شكلك تغير وارتعبت معناها اللي مكتوب بالتقرير مزبوط
317,Gonca,Female,Yoksa bütün bu tezgahların hepsini sen mi düzenledin Erkut?,أم أنك من ينظم كل هذه الحيل اركوت؟ ,وليش مخبي عني الموضوع وما حكيتلي لشو مخطط ؟
318,Arkut,Male,Ne diyorsun kızım sen?  Ne tezgahı ya?  Ver şunu bana!,ماذا تقول يا فتاة؟ ما الحيلة؟ أعطني هذا! ,خطة شو اللي عم تحكي عنها انتي اعطيني ياه بسرعة
319,Arkut,Male,Ne diyorsun sen kızım?  Nedenin farkında mısın?,ماذا تقول يا فتاة؟ هل تدرك ما تقوله؟ ,شبك جنيتي فهمانة ع حالك شو عم تقولي
320,Gonca,Female,Yalan söylüyorsun.  Ya Gonca uzaklaşma.,أنت تكذب. يا جونكا ابتعد ولا تقتربي. ,أنت عم تكذب
321,Gonca,Female,kendilerine teslim edeceğimi sanmıyorsun herhalde değil mi?,لا تتوقع أنني سأقوم بتسليمه لهم، أليس كذلك؟ ,أنت مفكر إني ممكن اعطيك هيك ورقة مهمة ببساطة مهيك؟
322,Gonca,Female,Erkut yoksa senin hala onunla bağlantın mı var?,إركوت هل لا يزال لديك بعض العلاقات معها؟ ,سماع لتكون لسا عم تتواصل معها لهلأ ؟
323,Gonca,Female,Bir zamanlar arzunun adamı değil miydin sen?  Hem sen de haklısın.,ألم تكن يومًا ما رجلًا لأروزة؟ وأنت محق أيضًا. ,أنت من زمان بتشتغل لصالح ارزو
324,Gonca,Female,Ben inanamıyorum kadın resmen kendi kızının ölümüne sebep olmuş ya.,لا أصدق أن المرأة تسببت في وفاة ابنتها بهذا الشكل. ,ما عم صدّق كيف قدرت تعمل هيك وتكون السبب بموت بنتا قتلتا بأيدها
325,Arkut,Male,Ya Gonca sen iyice kafayı kırdın ha.,يا جونكا لقد جننت تمامًا. ,يا غونجا خلصنا لا تحكي حكي مجانين
326,Gonca,Female,Ne kadar inkar etsen de sana inanmıyorum.,مهما أنكرته لا أصدقك.,قد ما نكرت ما رح صدقك ارقوط
327,Arkut,Male,Öyle bir şey yapmayacaksın Gonca.,لن تفعلي مثل هذا الشيء، يا جونكا. ,لا اوعك ما بتقدري تعملي هيك
328,Gonca,Female,Hiç kimse bana engel olamaz anlıyor musun?,لا يمكن لأحد أن يمنعني، هل تفهم؟ ,ما رح تقدر تمنعني اعمل اللي براسي
329,Gonca,Female,Asıl o arzu şimdi benim dediklerim yapmasın da görelim bakalım.,أرزو الحقيقية لا تفعل ما أقوله وأنا سنرى. ,اصلا انا كنت عم دور على شي اعملوا حتى اقدر وقفها ع حدا
330,Gonca,Female,Aykut bak bunun hesabını vereceksin çekil.,أيتوك أتركي هذا أو سيأتي وقت الحساب. ,ارقوط اتركني و روح من هون احسنلك فهمان
331,Arkut,Male,O zaman buradan çıkış yok sana.,إذن لا يوجد خروج لك من هنا.,معناها ما رح تطلعي من الغرفة
332,Asuman,Female,Kadın bas bas yardım istiyor.,المرأة تطلب المساعدة بصوت عالٍ. ,هي عم تصرخ وتخبط عالباب
333,Arkut,Male,Kapıyı falan açmaya kalkarsan cezanı çekersin ona göre.,إذا حاولت فتح الباب، ستعاقبين. ,إذا بتفكري تفتحيلا الباب . رح تتحملي العواقب انتي
334,Pelin,Female,Hayırlı olsun o zaman yeni anlaşmamız.,إذن مبارك لعقدنا الجديد. ,انشالله هالاجتماع بيكون فاتحة خير علينا
335,Pelin,Female,Çünkü senin tanıdığın pelinin pek bu taraklarda besi yoktu.,لأن بيلين التي تعرفها لم تكن مهتمة بهذه الأمور.,لان انت بتعرف بيلين البنت الدلوعة اللي مالا علاقة بالشغل منوب
336,Selim,Male,Gerçekten çok üzüldüm.  Başın sağ olsun.,أنا حقاً آسف، البقاء لله.,ماكان عندي خبر
337,Selim,Male,"Neyse, ben seni daha fazla meşgul etmeyeyim.",على أي حال، لا أريد أن أشغلك أكثر.,ماشي . انا . ما بدي اشغلك أكتر من هيك
338,Melek,Female,Her yazık hiç karşıma çıkacaksın sen nasıl olsa.,للأسف سنلتقي في يوم من الأيام. ,يعني وين بدك تروح مني بدك تجي بالأخير
339,Yusuf,Male,Kime güveniyorsun?  Biliyorum.  Fakat bunun benimle ya da bana sorduğunuz o  kadar soruyla ne alakası var ben hiç anlamadım.  Çünkü bizim her şeyimizde siz ilgileniyorsunuz Ümit Bey.  En önce ayrıntısı kadar da siz bakıyorsunuz her şeye.  Evet ben ilgileniyorum.  Çünkü Aliye Hanım ve Selim Bey böyleyiz.  Ben kafama göre hareket etmiyorum.  Onlar bana ne talimat veriyorsa ben onlara imkanım.  Evet biliyorum.  Ben de sizi suçlamıyorum zaten.  Ben sadece anlamaya çalışıyorum ya.  İşler bu noktaya nasıl geldi?  Bir türlü aklım mantığım olmuyor benim.,على من تعتمد؟ أعلم. لكن ما علاقتي بذلك أو بكل الأسئلة التي سألتني إياها، أنا لم أفهم أبداً. لأنكم تهتمون بكل شيء يخصنا يا سيد أحمد. أنتم تراقبون كل شيء بالتفصيل. نعم أنا أهتم. لأن سيدة علياء و السيدة سليم نحن كذلك. لا أتصرف حسب هواي. أعطيهم ما يطلبون مني. نعم أعلم. لا ألومك بالطبع. أحاول فقط الفهم. كيف وصلت الأمور إلى هذه النقطة؟ لا أستطيع فهماً. ,مين في وراكي ؟
340,Aliya,Female,Bizim bildiğimiz Pelinden bahsediyorsun sen öyle değil mi?,تتحدث عن بلين الذين نعرفهم، أليس كذلك؟ ,انت عم تحكي عن بيلين اللي منعرفها كلياتنا مو هيك؟
341,Yusuf,Male,Benim Eliften haberim yok.  Ne senden ne Eliften haberim yok.  Bana tuzak kurdular.  Ya ne tuzağı ya?  Görmüyor musun?  Seni de beni de aynı yere çağırmışlar.  İkimize de tuzak kurdular.,لا أعلم عن إيليف. لا عنك ولا عن إيليف لا أعلم. قد نصبوا لي فخًا. أي فخ يا؟ ألا ترى؟ لقد دعونا إلى نفس المكان. ودبروا لنا نفس الفخ.,ما كنت بعرف انو اليف هون و اصلاً ما اجيت لهون لا مشانك ولا مشانها
342,Selim,Male,Sen bir şey ettin yoksa.,لم تقومي بشيء، أليس كذلك؟,انتي صورتيهن ؟
343,Ümit,Male,Bundan sonrasını Yusuf düşünsün.  Biz değil.,من الآن فليكن يوسف من يقلق. ليس نحن.,اللي لازم يخاف هلأ هوه يوسف . مو نحنا
344,Arkut,Male,Ben biliyorum ne kadar kalacağını Asuman.  Sen işine bak.  Hayır yani.,أنا أعلم كم ستبقى أسومان. أنت اهتمي بشؤونك. لا يعني.,بعرف منيح ايمتا لازم طالعها فخليكي بحالك
345,Asuman,Female,Ne oldu birden bire böyle ne yaptık önce sana ya?,ماذا حدث فجأة، ماذا فعلنا لك أولاً؟,شو صاير بينكن شو عملتلك غونجا؟
346,Arkut,Male,Sabahtan beri kafamı ütüledin ya.  Yeter!,منذ الصباح وأنتِ تثرثرين في رأسي، كفى!,من الصبح وانتي عم تزني فوق راسي . بيكفي
347,Arkut,Male,Bir de sana laf mı anlatacağım?  Çıkmayacak diyorum o kadar ya.,وهل سأشرح لك أيضاً؟ أقول لن تخرج فقط.,وجعني راسي منك ما رح  طالعها خلص ارتحتي هلأ ؟
348,Arkut,Male,Sana ne olduğunu söyleyemem Asım.,لا أستطيع أن أخبرك بما يحدث أسيم.,مابقدر احكيلك شي هلأ اسومان
349,Gonca,Female,Beni buraya kapattığın için sana da hesap soracağım Erkut.  Ama göreceksiniz.,نظراً لأنك حبستني هنا سوف أسائلك يا أركوت. لكن ستَرون.,وبدي خلي ارقوط يدفع التمن لانو حبسني هون
350,Ümit,Male,Sen nasıl hissedersin öyle olsun?,كيفما تشعرين، يجب أن يكون كذلك.,طيب . متل مابدك منروح غير يوم
351,Melek,Female,Tüm gerçekleri inkar ettiklerinde mi saklı?  Bak ben senin düşmanın değilim.  Senin iyiliğin için ne kadar savaştığının farkında değil misin?  Sadece senin iyiliğin için ben kötü biri değilim.  İştahsız biri hiç değilim.  Arzu.  Tabii ya sen Arzunun adamısın.  Arzu?  Tabii.  Öyle.  Nasıl anlamadım ya nasıl anlamadım?  Saçmalama Arzu kim tanımıyorum bile.,هل يخفون كل الحقائق عندما ينكرونها؟ انظري أنا لست عدوك. ألا تدركين مدى كفاحي من أجل مصلحتك؟ فقط من أجلكأنا لست شخصًا سيئًا. لست شخصًا بلا شهية. عرزو. بالطبع، أنت من رجال عرزو. عرزو؟ بالطبع. هكذا. لم أفهم كيف لم أفهم؟ لا تضحكي، لست أعرف أحداً باسم عرزو.,معقول يكون اللي عم تنكرو هوه الحقيقة؟
352,Arkut,Male,"Bana eğer pislikten yırtardın, ne olacaktı?",إذا كنت تستطيع الهروب من القذارة، ماذا سيحدث؟,و كنت تخلص حالك على طول ؟
353,Orhan,Male,Ama başkasının evine izinsiz girmenin  suç olduğunu unutmuyorsun değil mi?,ولكن لا تنسى أن دخول منزل شخص آخر بدون إذن يعد جريمة، أليس كذلك؟,بس لاتنسى انك فتت على بيتهن بدون اذن وهي لحالا جريمه طبعاً
354,Arkut,Male,Sana ne güzel hesap mı vereceğim?,هل يجب أن أقدم لك حساباً؟,شو دخلك بدك تعرفي كل شي؟
355,Arkut,Male,Bakın Goncanın kapısını açmıyorsun ona göre.,لا تفتح باب غونجا، انتبه.,اوعي تطالعي غونجا من الغرفة هي عم حذرك
356,Gonca,Female,Asuman ne olur aç bak.  Vallahi dayanamıyorum burada.  Tıkılıp kaldım.  Ne olur açar mısın şu kapıyı ya?,أسومان رجاءً افتحي البوابة. باللهِ لا أستطيع البقاء هنا.  محبوسة.  رجاءً افتحي الباب.,بترجاكي فتحي الباب ما بعرف ليش  انا محبوسة هون  ما عاد فيني اتحمل ضروري اطلع فتحيلي الباب بقا
357,Asuman,Female,Ya açamam diyorum anlamıyor musun?  Erkut mahveder beni.,لا أستطيع أن أفتحه، ألا تفهمين؟ إركوت سيحطمني.,عم قلك ما فيني افتحلك لاتعلقيني مع ارقوط
358,Gonca,Female,Tamam tamam bak sen kapıyı aç ben her kutu,حسناً حسناً انظري، افتحي الباب، سأقول أنني وجدت مفتاحاً احتياطياً أو شيء كهذا، ولن يستطيع أن يفعل لك شيئاً، أعدك، هيا افتحي الباب.,تمام . شوفي رح قول انو  قدرت افتح القفل
359,Asuman,Female,Niye anlatamazmışsın ya?  Niye gizliyorsunuz benden?,حسناً.,ليش عم تخبو عني  بدي اعرف شو القصة؟
360,Gonca,Female,Eğer kapıyı açarsan sana söz veriyorum bak her şeyi  anlatacağım tamam ama ne olur aç artık şu kapıyı lütfen.,لا غونجا، والله لا أستطيع، اعذريني.,إذا فتحتيلي  . بوعدك احكيلك كل شي صار بالتفصيل تمام بس بترجاكي فتحي خليني الحق رجاءاً
361,Ümit,Male,Bakıyorum bu sabah çok sessizsin.,"أفكر.
",شو شايفك هادية كتير اليوم
362,Arzu,Female,Aslında bir yandan seni de düşünüyorum.,في الواقع، أنا أفكر فيك أيضاً من ناحية أخرى.,بصراحة عم فكر فيك كمان
363,Arzu,Female,Bir şekilde çiftliğe geri dönmelisin.,يجب أن تعود إلى المزرعة بطريقة ما.,و ترجع متل اول وتفوت عالمزرعة
364,Ümit,Male,Bu çok zor olacak biliyorsun değil mi?,تعرف أن هذا سيكون صعباً جداً، أليس كذلك؟,الموضوع كتير صعب بتعرفي مو ؟
365,Selim,Male,Bakalım bu fotoğrafları görünce ne yapacaksın Yusuf Efendi?  Ümit.,لنرى ماذا ستفعل عندما ترى هذه الصور يا يوسف أفندي؟ أوميت.,يلا لشوف ورجيني شو بدك تحكي لما تشوف  الصور سيد يوسف
366,Asuman,Female,"Bir yandan odada kilitli bağıran bir kadın,  diğer yandan patlamaya hazır bir Erkut.  Vallahi bunaldım.",من جهة امرأة تصرخ في غرفة مغلقة، ومن جهة أخرى إرقط على وشك الانفجار. والله شعرت بالضجر.,من جهة . هي  المرة اللي عم تصرخ كل الوقت  ومن جهة تانية جنان ارقوط
367,Asuman,Female,Ah Osman ya evin içinde neler dönüyor sen resmen ayakta uyuyorsun.,آه عثمان، ماذا يحدث في هذا المنزل وأنت نائم على قدميك.,شو يا اسومان . مو لازم تعرفي شو اللي عم يصير بالبيت  هيك بدك تضلي ؟
368,Asuman,Female,Gonca!  Hiçbir yere gidemezsin.  Anlatsana ya!,جونكا! لا يمكنك الذهاب إلى أي مكان. أخبرني!,غونجا . وقفي مافيكي تروحي .  مو هيك اتفقنا
369,Arzu,Female,Sen seni ne zaman buluşacaksın?,متى ستذهبين للقاء؟,شو ايمتا اجتماعك مع سليم؟
370,Arzu,Female,En büyük sınav varmış olursun.,ستكون قد اجتزت أكبر اختبار.,الباقي رح يكون  سهل كتير
371,Arzu,Female,Kafayı mı yedin?  Neye gülüyorsun?,هل فقدت عقلك؟ على ماذا تضحكين؟,شو انتي مجنونة ليش عم تضحكي ؟
372,Gonca,Female,Ya sen ciddi ciddi benim gerçekten şu  belgeli imzalayacağımı falan mı düşündün?,هل كنتي حقاً تفكرين أنني سأوقع على هذه الوثيقة؟,من كل عقلك مفكرتيني جبتك لوقع عالورقة اللي بدك ياها واتنازلك حبيبتي ؟
373,Gonca,Female,Ay sen sandın bana daha da safmışsın Arzu yazık gerçekten.,يا إلهي لقد اعتقدتي أنني أكثر سذاجة، أرجو حقاً أن تكوني حزينة.,عن جد طلعتي اغبى من ما كنت متوقعتك مسكينة والله
374,Gonca,Female,Eğer ki emir oğullarının bu yangını senin  çıkardığını öğrenmelerini istemiyorsan,إذا لم تريدي أن يكتشف أولاد الأمير أنك من أطلقت هذه النار,إذا ما بدك عيلة اميراوغلو يعرفو شو عملتي بدك توقعي على هالورقة عم تفهمي عليي
375,Arzu,Female,Sen kafayı mı yedin ya?  Çıldırdın mı sen?,هل فقدت عقلك؟  هل جننت؟ ,لك انتي شو صرلك جنيتي يعني؟
376,Arzu,Female,Bu elindeki saçma sapan sahte belgeyle hiçbir şeyi kanıtlayamazsın.,لا يمكنك إثبات أي شيء باستخدام هذه الوثيقة الساذجة المزيفة. ,مافيكي تثبتي شي بهالورقة السخيفة تبعك. عم تفهمي شو قلت؟.
377,Aliya,Female,Sen de üzülme yavrum ama tamam mı?,لا تحزني أيضًا يا طفلتي، حسناً؟,خلص ياروحي وانتي لاتزعلي . تمام؟
378,Selim,Male,Neden böyle bir şey yapsın?,لماذا يفعلون شيئًا كهذا؟,ليش لتعمل هيك؟
379,Selim,Male,Ya Arzunun senin de alıp veremediği ne var?,وما الذي يمكن أن يكون لأرزو معك أية خصومة؟,شو مصلحة ارزو تعمل هيك ما عم افهم
380,Selim,Male,Ümitin arzu için çalıştığından eminsin.,هل أنت متأكد من أن الأمل يعمل لأجل أرزو؟,انت متأكد انو اوميت عم يشتغل معا؟
381,Arkut,Male,Ben sana demedim mi o kapı açılmayacak diye?,ألم أقل لكِ ألا يُفتح هذا الباب؟,ماقلتلك  لو شو ماصار مابتفتحي الباب؟
382,Arkut,Male,Niye açmıyorsun kızım?  Niye dönmüyorsun?,لماذا لا تردين عليّ؟ لماذا لا تجيبين؟,ليش مارديتي او رجعتي اتصلتي؟
383,Arzu,Female,Sana hesap mı vereceğim ben ya?,هل سأعطيك تفسيراً، أنا؟,اي بيطلعلك تعاتبني
384,Aliya,Female,Kızım Selim nerede biliyor musun?,ابنتي أين سليم هل تعرفين؟,بنتي. وين سليم بتعرفي؟
385,Selim,Male,Sana orada haddini bildirmem gerekiyor ya.,يجب أن أضعك في مكانك هناك.,لو انو الشغلة عليي بروح بقتلك فورا
386,Arzu,Female,Benim bu yaşak başka bir şey bulamadım bu kadın.,أركوت، توقف.,لعمى جاية تتهمني بقتل بنتي
387,Arzu,Female,Kafayı mı yedi bu kadın?,أخرجت تقريرًا مزيفًا.,شو هي مجنونة؟
388,Arzu,Female,Ya manyak mı o kadın ya?  Gerizekalı mı bu?  Kim inanır buna?,ها، ومن ثم السيدة الراقية,مين بصدق هالحكي شبها هي جنت يعني شو صرلا فهمني؟
389,Selim,Male,"Dedim ya, gerek yok rahat ol sen.",كما قلت، لا حاجة لذلك، كن مرتاحًا.,ولايهمك. انا بعرفك منيح
390,Arzu,Female,Erkut sen ne diyorsun ya?,إركوت، ماذا تقول؟ ,ارقوط شو عم تقول؟
391,Arkut,Male,Bu işin üstünü örtmek için ne kadar uğraştım haberin var mı senin?,هل تدركين كم تعبت لأغطي الأمر؟ ,بتعرفي اديش اتعذبت لبدل التقرير وحل هالموضوع
